ImageId,Label
1,7
2,2
3,1
4,0
5,4
6,1
7,4
8,9
9,5
10,9
11,0
12,6
13,9
14,0
15,1
16,5
17,9
18,7
19,3
20,4
21,9
22,6
23,6
24,5
25,4
26,0
27,7
28,4
29,0
30,1
31,3
32,1
33,3
34,4
35,7
36,2
37,7
38,1
39,2
40,1
41,1
42,7
43,4
44,2
45,3
46,5
47,1
48,2
49,4
50,4
51,6
52,3
53,5
54,5
55,6
56,0
57,4
58,1
59,9
60,5
61,7
62,8
63,9
64,3
65,7
66,4
67,6
68,4
69,3
70,0
71,7
72,0
73,2
74,9
75,1
76,7
77,3
78,2
79,9
80,7
81,7
82,6
83,2
84,7
85,8
86,4
87,7
88,3
89,6
90,1
91,3
92,6
93,9
94,3
95,1
96,4
97,1
98,7
99,6
100,9
101,6
102,0
103,5
104,4
105,9
106,9
107,2
108,1
109,9
110,4
111,8
112,7
113,3
114,9
115,7
116,9
117,4
118,4
119,9
120,2
121,5
122,4
123,7
124,6
125,7
126,9
127,0
128,5
129,8
130,5
131,6
132,6
133,5
134,7
135,8
136,1
137,0
138,1
139,6
140,4
141,6
142,7
143,3
144,1
145,7
146,1
147,8
148,2
149,0
150,9
151,9
152,9
153,5
154,5
155,1
156,5
157,6
158,0
159,3
160,4
161,4
162,6
163,5
164,4
165,6
166,5
167,4
168,5
169,1
170,4
171,4
172,7
173,2
174,3
175,2
176,7
177,1
178,8
179,1
180,8
181,1
182,8
183,5
184,0
185,8
186,9
187,2
188,5
189,0
190,1
191,1
192,1
193,0
194,9
195,0
196,3
197,1
198,6
199,4
200,2
201,3
202,6
203,1
204,1
205,1
206,3
207,9
208,5
209,2
210,9
211,4
212,5
213,9
214,3
215,9
216,0
217,3
218,5
219,5
220,5
221,7
222,2
223,2
224,7
225,1
226,2
227,8
228,4
229,1
230,7
231,3
232,3
233,8
234,7
235,9
236,9
237,2
238,2
239,4
240,1
241,5
242,9
243,8
244,7
245,2
246,3
247,0
248,2
249,4
250,2
251,4
252,1
253,9
254,5
255,7
256,7
257,2
258,8
259,2
260,0
261,8
262,5
263,7
264,7
265,9
266,1
267,8
268,1
269,8
270,0
271,3
272,0
273,1
274,9
275,9
276,4
277,1
278,8
279,2
280,1
281,2
282,9
283,7
284,5
285,9
286,2
287,6
288,4
289,1
290,5
291,8
292,2
293,9
294,2
295,0
296,4
297,0
298,0
299,2
300,8
301,4
302,7
303,1
304,2
305,4
306,0
307,2
308,7
309,4
310,3
311,3
312,0
313,0
314,3
315,1
316,9
317,6
318,5
319,2
320,5
321,9
322,7
323,9
324,3
325,0
326,4
327,2
328,0
329,7
330,1
331,1
332,2
333,1
334,5
335,3
336,3
337,9
338,7
339,8
340,6
341,5
342,6
343,1
344,3
345,8
346,1
347,0
348,5
349,1
350,3
351,1
352,5
353,5
354,6
355,1
356,8
357,5
358,1
359,7
360,9
361,4
362,6
363,2
364,2
365,5
366,0
367,6
368,5
369,6
370,3
371,7
372,2
373,0
374,8
375,8
376,5
377,4
378,1
379,1
380,4
381,0
382,7
383,3
384,7
385,6
386,1
387,6
388,2
389,1
390,9
391,2
392,8
393,6
394,1
395,9
396,5
397,4
398,5
399,4
400,4
401,2
402,8
403,3
404,8
405,2
406,4
407,5
408,0
409,3
410,1
411,7
412,7
413,5
414,7
415,9
416,7
417,1
418,9
419,2
420,1
421,4
422,2
423,9
424,2
425,0
426,4
427,9
428,1
429,4
430,8
431,1
432,8
433,4
434,5
435,9
436,8
437,8
438,3
439,7
440,6
441,0
442,0
443,3
444,0
445,2
446,0
447,6
448,4
449,9
450,3
451,3
452,3
453,2
454,3
455,9
456,1
457,2
458,6
459,8
460,0
461,5
462,6
463,6
464,6
465,3
466,8
467,8
468,2
469,7
470,5
471,8
472,9
473,6
474,1
475,8
476,4
477,1
478,2
479,5
480,9
481,1
482,9
483,7
484,5
485,4
486,0
487,8
488,9
489,9
490,1
491,0
492,5
493,2
494,3
495,7
496,8
497,9
498,4
499,0
500,6
501,3
502,9
503,7
504,2
505,1
506,0
507,4
508,1
509,4
510,9
511,5
512,9
513,0
514,6
515,9
516,0
517,1
518,5
519,9
520,7
521,3
522,4
523,9
524,6
525,6
526,5
527,4
528,0
529,7
530,4
531,0
532,1
533,3
534,1
535,3
536,4
537,7
538,2
539,7
540,1
541,2
542,1
543,1
544,7
545,4
546,2
547,3
548,5
549,1
550,2
551,4
552,4
553,6
554,3
555,5
556,5
557,6
558,0
559,4
560,1
561,9
562,5
563,7
564,8
565,9
566,3
567,7
568,4
569,6
570,4
571,3
572,0
573,7
574,0
575,2
576,9
577,1
578,7
579,3
580,2
581,9
582,7
583,7
584,6
585,2
586,7
587,8
588,4
589,7
590,3
591,6
592,1
593,3
594,6
595,9
596,3
597,1
598,4
599,1
600,7
601,6
602,9
603,6
604,0
605,5
606,4
607,9
608,9
609,2
610,1
611,9
612,4
613,8
614,7
615,3
616,9
617,7
618,9
619,4
620,4
621,9
622,2
623,5
624,4
625,7
626,6
627,7
628,9
629,0
630,5
631,8
632,5
633,6
634,6
635,5
636,7
637,8
638,1
639,0
640,1
641,6
642,4
643,6
644,7
645,3
646,1
647,7
648,1
649,8
650,2
651,0
652,9
653,9
654,9
655,5
656,5
657,1
658,5
659,6
660,0
661,3
662,4
663,4
664,6
665,5
666,4
667,6
668,5
669,4
670,5
671,1
672,4
673,4
674,7
675,2
676,3
677,2
678,7
679,1
680,8
681,1
682,8
683,1
684,8
685,5
686,0
687,8
688,9
689,2
690,5
691,0
692,1
693,1
694,1
695,0
696,9
697,0
698,3
699,1
700,6
701,4
702,2
703,3
704,6
705,1
706,1
707,1
708,3
709,9
710,5
711,2
712,9
713,4
714,5
715,9
716,3
717,9
718,0
719,3
720,5
721,5
722,5
723,7
724,2
725,2
726,7
727,1
728,2
729,8
730,4
731,1
732,7
733,3
734,3
735,8
736,7
737,9
738,9
739,2
740,2
741,4
742,1
743,5
744,9
745,8
746,7
747,2
748,3
749,0
750,2
751,4
752,2
753,4
754,1
755,9
756,5
757,7
758,7
759,2
760,8
761,2
762,0
763,8
764,5
765,7
766,7
767,9
768,1
769,8
770,1
771,8
772,0
773,3
774,0
775,1
776,9
777,9
778,4
779,1
780,8
781,2
782,1
783,2
784,9
785,7
786,5
787,9
788,2
789,6
790,4
791,1
792,5
793,8
794,2
795,9
796,2
797,0
798,4
799,0
800,0
801,2
802,8
803,4
804,7
805,1
806,2
807,4
808,0
809,2
810,7
811,4
812,3
813,3
814,0
815,0
816,3
817,1
818,9
819,6
820,5
821,2
822,5
823,9
824,7
825,9
826,3
827,0
828,4
829,2
830,0
831,7
832,1
833,1
834,2
835,1
836,5
837,3
838,3
839,9
840,7
841,8
842,6
843,5
844,6
845,1
846,3
847,8
848,1
849,0
850,5
851,1
852,3
853,1
854,5
855,5
856,6
857,1
858,8
859,5
860,1
861,7
862,9
863,4
864,6
865,2
866,2
867,5
868,0
869,6
870,5
871,6
872,3
873,7
874,2
875,0
876,8
877,8
878,5
879,4
880,1
881,1
882,4
883,0
884,7
885,3
886,7
887,6
888,1
889,6
890,2
891,1
892,9
893,2
894,8
895,6
896,1
897,9
898,5
899,4
900,5
901,4
902,4
903,2
904,8
905,3
906,8
907,2
908,4
909,5
910,0
911,3
912,1
913,7
914,7
915,5
916,7
917,9
918,7
919,1
920,9
921,2
922,1
923,4
924,2
925,9
926,2
927,0
928,4
929,9
930,1
931,4
932,8
933,1
934,8
935,4
936,5
937,9
938,8
939,8
940,3
941,7
942,6
943,0
944,0
945,3
946,0
947,2
948,0
949,6
950,4
951,9
952,3
953,3
954,3
955,2
956,3
957,9
958,1
959,2
960,6
961,8
962,0
963,5
964,6
965,6
966,6
967,3
968,8
969,8
970,2
971,7
972,5
973,8
974,9
975,6
976,1
977,8
978,4
979,1
980,2
981,5
982,9
983,1
984,9
985,7
986,5
987,4
988,0
989,8
990,9
991,9
992,1
993,0
994,5
995,2
996,3
997,7
998,8
999,9
1000,4
1001,0
1002,6
1003,3
1004,9
1005,7
1006,2
1007,1
1008,0
1009,4
1010,1
1011,4
1012,9
1013,5
1014,9
1015,0
1016,6
1017,9
1018,0
1019,1
1020,5
1021,9
1022,7
1023,3
1024,4
1025,9
1026,6
1027,6
1028,5
1029,4
1030,0
1031,7
1032,4
1033,0
1034,1
1035,3
1036,1
1037,3
1038,4
1039,7
1040,2
1041,7
1042,1
1043,2
1044,1
1045,1
1046,7
1047,4
1048,2
1049,3
1050,5
1051,1
1052,2
1053,4
1054,4
1055,6
1056,3
1057,5
1058,5
1059,6
1060,0
1061,4
1062,1
1063,9
1064,5
1065,7
1066,8
1067,9
1068,3
1069,7
1070,4
1071,6
1072,4
1073,3
1074,0
1075,7
1076,0
1077,2
1078,9
1079,1
1080,7
1081,3
1082,2
1083,9
1084,7
1085,7
1086,6
1087,2
1088,7
1089,8
1090,4
1091,7
1092,3
1093,6
1094,1
1095,3
1096,6
1097,9
1098,3
1099,1
1100,4
1101,1
1102,7
1103,6
1104,9
1105,6
1106,0
1107,5
1108,4
1109,9
1110,9
1111,2
1112,1
1113,9
1114,4
1115,8
1116,7
1117,3
1118,9
1119,7
1120,9
1121,4
1122,4
1123,9
1124,2
1125,5
1126,4
1127,7
1128,6
1129,7
1130,9
1131,0
1132,5
1133,8
1134,5
1135,6
1136,6
1137,5
1138,7
1139,8
1140,1
1141,0
1142,1
1143,6
1144,4
1145,6
1146,7
1147,3
1148,1
1149,7
1150,1
1151,8
1152,2
1153,0
1154,9
1155,9
1156,9
1157,5
1158,5
1159,1
1160,5
1161,6
1162,0
1163,3
1164,4
1165,4
1166,6
1167,5
1168,4
1169,6
1170,5
1171,4
1172,5
1173,1
1174,4
1175,4
1176,7
1177,2
1178,3
1179,2
1180,7
1181,1
1182,8
1183,1
1184,8
1185,1
1186,8
1187,5
1188,0
1189,8
1190,9
1191,2
1192,5
1193,0
1194,1
1195,1
1196,1
1197,0
1198,9
1199,0
1200,3
1201,1
1202,6
1203,4
1204,2
1205,3
1206,6
1207,1
1208,1
1209,1
1210,3
1211,9
1212,5
1213,2
1214,9
1215,4
1216,5
1217,9
1218,3
1219,9
1220,0
1221,3
1222,5
1223,5
1224,5
1225,7
1226,2
1227,2
1228,7
1229,1
1230,2
1231,8
1232,4
1233,1
1234,7
1235,3
1236,3
1237,8
1238,7
1239,9
1240,9
1241,2
1242,2
1243,4
1244,1
1245,5
1246,9
1247,8
1248,7
1249,2
1250,3
1251,0
1252,2
1253,4
1254,2
1255,4
1256,1
1257,9
1258,5
1259,7
1260,7
1261,2
1262,8
1263,2
1264,0
1265,8
1266,5
1267,7
1268,7
1269,9
1270,1
1271,8
1272,1
1273,8
1274,0
1275,3
1276,0
1277,1
1278,9
1279,9
1280,4
1281,1
1282,8
1283,2
1284,1
1285,2
1286,9
1287,7
1288,5
1289,9
1290,2
1291,6
1292,4
1293,1
1294,5
1295,8
1296,2
1297,9
1298,2
1299,0
1300,4
1301,0
1302,0
1303,2
1304,8
1305,4
1306,7
1307,1
1308,2
1309,4
1310,0
1311,2
1312,7
1313,4
1314,3
1315,3
1316,0
1317,0
1318,3
1319,1
1320,9
1321,6
1322,5
1323,2
1324,5
1325,9
1326,7
1327,9
1328,3
1329,0
1330,4
1331,2
1332,0
1333,7
1334,1
1335,1
1336,2
1337,1
1338,5
1339,3
1340,3
1341,9
1342,7
1343,8
1344,6
1345,5
1346,6
1347,1
1348,3
1349,8
1350,1
1351,0
1352,5
1353,1
1354,3
1355,1
1356,5
1357,5
1358,6
1359,1
1360,8
1361,5
1362,1
1363,7
1364,9
1365,4
1366,6
1367,2
1368,2
1369,5
1370,0
1371,6
1372,5
1373,6
1374,3
1375,7
1376,2
1377,0
1378,8
1379,8
